,monastery_Lde,building_Lde,monastery_Dde,building_Dde
0,"Deutschordenshaus Judenrode, Gürath","""Gebäudekomplex Deutschordenshaus Judenrode, Gürath (Gürath)""",x,x
1,"Ursulinenkloster Luzern, Schweiz","""Gebäudekomplex Ursulinenkloster Luzern, Schweiz""",x,x
2,"Franziskanerterziarinnenkloster Kaltern (Caldaro), Italien","""Gebäudekomplex Franziskanerterziarinnenkloster Kaltern (Caldaro), Italien (Kaltern)""",x,x
3,"Benediktinerkloster Brüttelen, Schweiz","""Gebäudekomplex Benediktinerkloster Brüttelen, Schweiz""",x,x
4,Johanniterkommende Krautheim,"""Gebäudekomplex Johanniterkommende Krautheim""",x,x
5,Zisterzienserinnenkloster Blatzheim,"""Gebäudekomplex Zisterzienserinnenkloster Blatzheim""",x,x
6,Augustinerchorherrenstift Rebdorf,"""Gebäudekomplex Augustinerchorherrenstift Rebdorf (Rebdorf)""",x,x
7,"Kollegiatstift St. Nikolaus, Überlingen","""Gebäudekomplex Kollegiatstift St. Nikolaus, Überlingen""",x,x
8,"Benediktinerabtei Saint-Ghislain, Belgien","""Gebäudekomplex Benediktinerabtei Saint-Ghislain, Belgien (Saint-Ghislain)""",x,x
9,"Kollegiatstift St. Georg, Wernigerode","""Gebäudekomplex Kollegiatstift St. Georg, Wernigerode""",x,x
10,Benediktinerkloster Attel,"""Gebäudekomplex Benediktinerkloster Attel""",x,x
11,"Klarissenkloster Heiligenberg, Jugenheim","""Gebäudekomplex Klarissenkloster Heiligenberg, Jugenheim (Heiligenberg)""",x,x
12,Pönitentenrekollektinnenkloster (Franziskanerinnen) Aachen,"""Gebäudekomplex Pönitentenrekollektinnenkloster (Franziskanerinnen) Aachen""",x,x
13,Zisterzienserinnenkloster Nicolaurieth,"""Gebäudekomplex Zisterzienserinnenkloster Nicolaurieth (Mönchpfiffel)""",x,x
14,"Zisterzienserkloster Villers, Belgien","""Gebäudekomplex Zisterzienserkloster Villers, Belgien""",x,x
