Begriff;�bersetzung
Prämonstratenserinnenstift;Premonstratensian nuns
Prämonstratenserinnenpriorat;Premonstratensian nuns
Prämonstratenser-Doppelstift;Premonstratensians
Augustinerchorfrauenstift;Canonesses Regular of St Augustine
Augustinerchorfrauenpriorat;Canonesses Regular of St Augustine
Augustinerchorfrauenkonvent;Canonesses Regular of St Augustine
Benediktinerinnenkloster;Benedictine nuns
Benediktinerinnenpriorat;Benedictine nuns
Benediktinerinnenabtei;Benedictine nuns
Kanonissenstift;Canonesses
Kollegiatstift;Collegiate Church
Domstift;Cathedral Chapter
Karmelitenkloster;Carmelite monastery
Karmeliten-Barfüßerkloster;Carmelite monastery
Benediktinerkloster;Benedictine monastery
Benediktinerabtei;Benedictine abbey
Benediktinerpropstei;Benedictines
Benediktinerpriorat;Benedictine priory
Benediktinerreichsabtei;Benedictine abbey
Benediktinerniederlassung;Benedictines
Benediktinergymnasium;Benedictine school
Benediktinerkloster/Kollegiatstift;Benedictines
Benediktinerabtei/Kollegiatstift;Benedictines
Benediktiner-Doppelkloster;Benedictine double monastery
Benediktinerkonvent;Benedictines
Prämonstratenserstift;Premonstratensians
Prämonstratenserabtei;Premonstratensians
Prämonstratenserpropstei;Premonstratensians
Prämonstratenserkloster;Premonstratensians
Prämonstratenserpriorat;Premonstratensians
Prämonstratenser-Domstift;Premonstratensians
Prämonstratenser-Doppelstift;Premonstratensians
Prämonstratenserresidenz;Premonstratensians
Prämonstratenserniederlassung;Premonstratensians
Prämonstratenserseminar;Premonstratensians
Franziskanerkloster;Franciscans
Franziskanerobservantenkloster;Franciscans
Franziskanerminoritenkloster;Franciscans
Franziskanerrekollektenkloster;Franciscans
Franziskanerreformatenkloster;Franciscans
Franziskanerresidenz;Franciscans
Franziskanerkonventualenkloster;Franciscans
Franziskanerhospiz;Franciscan hospital
Franziskanerkonvent;Franciscans
Franziskanerreformaten;Franciscans
Franziskanerterziarenkloster;Franciscans
Franziskaner-Rekollektenkloster;Franciscans
Franziskaner-rekollekten;Franciscans
Magdalenerinnenkloster;Monastery of St. Mary Magdalene
Frauenkloster;Women's convent
Bruderhaus;Friary
Schwesternsammlung;Women's convent
Brüder- und Schwesternkonvent;Convent
Schwesternhaus;Women's convent
Beginenhaus;Beguines
Frauensammlung;Women's convent
Beginengemeinschaft;Beguines
Klause;Hermitage
Beginenhof;Beguines
Begardenhaus;Beguines
Begarden;Beghards
Waldbrüderhaus;Convent
Eremitenkloster;Hermitage
Terziarinnenkloster;Tertiaries
Franziskanertertiarinnenkloster;Tertiaries
Terziarinnen;Tertiaries
Johanniterspital;Knights Hospitallers
Johanniterkommende;Knights Hospitallers
Johanniter-Doppelkommende;Knights Hospitallers
Johanniterordenshaus;Knights Hospitallers
Johanniterhaus;Knights Hospitallers
Johanniterniederlassung;Knights Hospitallers
Johanniterkloster;Knights Hospitallers
Johanniterpriorei;Knights Hospitallers
Johanniterhof;Knights Hospitallers
Johanniterkomturei;Knights Hospitallers
Johanniterhospiz;Knights Hospitallers
Johanniterordensschloss;Knights Hospitallers
Johanniterordens-Kommende;Knights Hospitallers
Augustinereremitenkloster;Austin Friars
Augustinereremitenniederlassung;Austin Friars
Augustinereremitenpriorat;Austin Friars
Kapuzinerkloster;Capuchin friary
Kapuzinerhospiz;Capuchin hospital
Kapuzinerresidenz;Capuchin friary
Kapuzinerniederlassung;Capuchin friary
Kanonikerstift;Collegiate Church
Augustinerchorherrenstift;Canons Regular of St Augustine
Augustinerchorherrenpriorat;Canons Regular of St Augustine
Augustinerchorherrenpropstei;Canons Regular of St Augustine
Augustinerchorherrendoppelstift;Canons Regular of St Augustine
Augustinerchorherrenhospiz;Canons Regular of St Augustine
Augustiner-Doppelstift;Augustinians
Kanonissenstift;Women's convent
Frauenkloster;Women's convent
Nonnenkonvent;Women's convent
Dominikanerkonvent;Dominicans
Dominikanerkloster;Dominicans
Templerniederlassung;Knights Templar
Templerkommende;Knights Templar
Templerhof;Knights Templar
Komturei der Templer;Knights Templar
Zisterzienserabtei;Cistercian abbey
Zisterzienserkloster;Cistercian monastery
Zisterzienserkonvent;Cistercians
Zisterzienserniederlassung;Cistercians
Zisterzienserpropstei;Cistercians
Zisterzienserpriorat;Cistercians
Zisterzienserkolleg;Cistercians
Schwesternhaus;Women's convent
Jesuitenniederlassung;Jesuits
Jesuitenresidenz;Jesuit residence
Jesuitenmission;Jesuits
Jesuitenkolleg;Jesuit college
Jesuitenkollegium;Jesuit college
Jesuitenseminar;Jesuits
Jesuitenkonvent;Jesuits
Jesuitenabtei;Jesuits
Kanonissenstift;Convent of canonesses
Zisterzienserinnenkloster;Cistercian nunnery
Zisterzienserinnenabtei;Cistercian nunnery
Zisterzienserinnenklause;Cistercian nunnery
